Qualifications,Salary Range,Job Title,Role,Job Description,skills
B.Com,$65K-$118K,Event Planner,Corporate Event Planner,"Corporate Event Planners organize business-related events such as seminars, conferences, and product launches, ensuring they meet corporate goals and standards.",Corporate event planning Corporate branding Corporate communication Audiovisual equipment Crisis management
PhD,$58K-$83K,Finance Manager,Treasury Manager,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.",Treasury management Cash flow analysis Risk management Financial forecasting Banking relations
M.Tech,$59K-$109K,IT Support Specialist,IT Systems Administrator,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.",Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills
M.Com,$61K-$100K,Product Manager,Agile Product Owner,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Agile product development Scrum or Kanban frameworks Backlog management User story writing Prioritization techniques Collaboration with development teams Product vision and strategy
M.Tech,$63K-$109K,Java Developer,Java Web Application Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation"
B.Com,$57K-$82K,Account Executive,Advertising Account Executive,"An Advertising Account Executive works in advertising agencies, managing client accounts and overseeing the creation and execution of advertising campaigns.",Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying
MBA,$56K-$102K,Office Manager,Facilities Manager,"Facilities Managers manage facilities and building operations. They oversee maintenance, security, and facility improvements to provide a safe and efficient working environment.",Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
B.Com,$59K-$95K,Architect,Architectural Designer,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
PhD,$58K-$114K,Procurement Specialist,Procurement Manager,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.",Procurement strategies Supplier management Negotiation Cost analysis Supply chain management
PhD,$57K-$90K,Software Tester,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
BBA,$63K-$90K,Procurement Specialist,Procurement Manager,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.",Procurement strategies Supplier management Negotiation Cost analysis Supply chain management
MBA,$64K-$111K,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics
MBA,$61K-$124K,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail"
MBA,$62K-$91K,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency
BCA,$62K-$99K,Email Marketing Specialist,Deliverability Analyst,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail"
MCA,$62K-$116K,Graphic Designer,UI/UX Designer,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design"
M.Tech,$60K-$112K,Process Engineer,Chemical Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.",Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills
M.Com,$61K-$104K,Sales Consultant,Sales Trainer,"Sales Trainers develop and deliver training programs to sales teams. They teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives.",Sales training Sales coaching Training program development Sales techniques Product knowledge Presentation skills
B.Tech,$57K-$98K,Nurse Practitioner,Acute Care Nurse Practitioner,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.",Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning
PhD,$61K-$87K,Executive Assistant,Office Manager,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations
MCA,$65K-$90K,Graphic Designer,Web Graphic Designer,"Web Graphic Designers create visually appealing graphics, images, and layouts for websites. They work closely with web developers and UI/UX designers to ensure that web content is aesthetically pleasing, on-brand, and engaging to users.","Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills"
MCA,$61K-$121K,Marketing Coordinator,Event Marketing Coordinator,"Event Marketing Coordinators focus on marketing events, including trade shows, exhibitions, and product launches, to maximize attendance and engagement.",Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills
B.Com,$61K-$109K,Registered Nurse,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",Nursing care Patient assessment Medical knowledge
MCA,$60K-$130K,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling
BCA,$55K-$111K,Marketing Manager,Digital Marketing Manager,"Digital Marketing Managers lead digital marketing efforts, including SEO, SEM, social media, email marketing, and content strategy. They develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales.","Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)"
MCA,$64K-$104K,Content Writer,Technical Writer,"Technical Writers specialize in creating user-friendly documentation and manuals for technical products and services. They translate complex technical information into accessible, understandable content.",Technical documentation Technical knowledge Writing skills Editing User manuals
PhD,$61K-$100K,UX/UI Designer,Interaction Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
BCA,$57K-$100K,Business Analyst,IT Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills
B.Com,$65K-$109K,Email Marketing Specialist,Email Campaign Manager,"Plan, execute, and analyze email marketing campaigns to engage subscribers, increase conversions, and build brand awareness.","Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail"
PhD,$57K-$82K,Financial Analyst,Budget Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.",Budget planning Financial forecasting Excel proficiency Data analysis
M.Tech,$65K-$123K,Electrical Designer,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge
MCA,$58K-$130K,Mechanical Designer,CAD Technician,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable)
B.Tech,$63K-$104K,Structural Engineer,Design Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills
